GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java API Sniffer Library,org.sw4j.apisniffer.visitor,ApiClassVisitor,29,77,0,6,8,17,5,8,5,5
Java API Sniffer Library,org.sw4j.apisniffer.builder,ClassTypeBuilder,0,3,0,0,0,1,0,1,0,1
Java API Sniffer Library,org.sw4j.apisniffer.builder,TypeBuilder,7,7,2,0,1,3,2,2,1,2
Java API Sniffer Library,org.sw4j.apisniffer.builder,AnnotationTypeBuilder,0,3,0,0,0,1,0,1,0,1
Java API Sniffer Library,org.sw4j.apisniffer.builder,ApiBuilder,2,19,0,0,1,6,1,5,1,5
Java API Sniffer Library,org.sw4j.apisniffer.builder,InterfaceTypeBuilder,0,3,0,0,0,1,0,1,0,1
Java API Sniffer Library,org.sw4j.apisniffer.builder,ApiBuilder.ApiImpl,8,0,0,0,2,0,2,0,2,0
Java API Sniffer Library,org.sw4j.apisniffer.builder,EnumTypeBuilder,0,3,0,0,0,1,0,1,0,1
Java API Sniffer Library,org.sw4j.apisniffer.util,ApiUtils,3,0,0,0,2,0,1,0,1,0
Java API Sniffer Library,org.sw4j.apisniffer,ApiScanner.DirectoryOrClassFileFilter,1,14,1,3,0,3,1,3,0,2
Java API Sniffer Library,org.sw4j.apisniffer,ApiScanner,8,84,1,7,3,20,3,6,2,3
